TIME[S],pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,x_cartesian,y_cartesian,z_cartesian
0.0,-1387897.52489378,-5268929.40314374,3306577.78958198,-0.024384810456303,0.0581944954978505,0.013195331002003,0.0,0.0,1118.74380639102
1.0,-1387897.51020182,-5268929.39813988,3306577.78415043,-0.0223816786699237,0.0506036995833791,0.00707304990651002,0.000191434286534786,0.0151252187788486,1118.7336524874
2.0000102519989014,-1387897.50834401,-5268929.38309468,3306577.77440117,-0.0170525802134444,0.0478699903232249,0.00842607871566857,0.000732406042516232,0.0127442572265863,1118.71575220209
3.0000102519989014,-1387897.51016397,-5268929.38717536,3306577.77573093,-0.0174964906986971,0.0368419076780181,0.00759637388190808,0.00188314076513052,0.0119016282260418,1118.72021187842
4.000020265579224,-1387897.5093597,-5268929.38959987,3306577.77946082,-0.012726560497543,0.0423543408892629,0.00575832963331068,-0.000195090658962727,0.0135334953665733,1118.72397614457
5.000020265579224,-1387897.50950584,-5268929.38847967,3306577.77308233,-0.0169447472437881,0.0435821747433208,0.00600638520004749,0.0047143017873168,0.0130345039069653,1118.71977273002
6.000030279159546,-1387897.51522789,-5268929.39006231,3306577.78153702,-0.0175214590970926,0.0321398264682327,0.00793380621706077,-0.000962402671575546,0.00703462027013302,1118.72671344131
7.000030279159546,-1387897.50845289,-5268929.36005391,3306577.76186992,-0.00824635684673498,0.0354733133532025,0.00225841401753024,-9.94615256786346e-5,0.00575713813304901,1118.69022698514
8.000040292739868,-1387897.67777361,-5268929.91992316,3306578.10887869,-0.538925609685083,-1.74258458928667,1.06887125490596,0.00649954564869404,-0.0189480744302273,1119.36996839382
9.000040292739868,-1387898.78133164,-5268933.51115302,3306580.24411656,-1.77422185864002,-5.52101648769062,3.28532484236715,0.128591112792492,-0.19717026501894,1123.68689777795
10.00005030632019,-1387901.24058258,-5268940.82047184,3306584.48519073,-3.24057611447942,-9.08695063745388,5.20083572258333,0.494850906543434,-0.80097365938127,1132.46528194565
11.00005030632019,-1387905.26918261,-5268951.68258016,3306590.57773322,-4.95467447074294,-12.6469637714027,7.03131805829633,1.26801170781255,-2.12123245373368,1145.48302827869
12.000060319900513,-1387911.04344254,-5268966.14368523,3306598.4994168,-6.73743918422396,-16.2440619779653,8.86184446508393,2.51362643390894,-4.34357152692974,1162.80514689256
13.000060319900513,-1387918.57380705,-5268984.23518102,3306608.27405253,-8.4946085434247,-19.8971770850297,10.7551392645396,4.22846403345466,-7.47043830901384,1184.47221966181
14.000070333480835,-1387927.7957301,-5269005.99662402,3306619.94206607,-10.1588208066933,-23.5987938772352,12.7059699884621,6.38927668891847,-11.4170349743217,1210.52386625204
15.000070333480835,-1387938.61871639,-5269031.497677,3306633.59410831,-11.7350734425248,-27.3605084277284,14.7358834868681,8.94155858270824,-16.0602458771318,1241.0450012954
16.000080108642578,-1387950.9539414,-5269060.78440807,3306649.33307922,-13.163352263211,-31.1560907888263,16.8855284659199,11.8087194515392,-21.2858728691936,1276.10775241535
17.000080108642578,-1387964.66946324,-5269093.86085782,3306667.36487275,-14.4343471011712,-34.9282034793443,19.2599396155083,14.7993609663099,-26.9434755966067,1315.79354688898
18.000080108642578,-1387979.62093603,-5269130.65396222,3306687.90610936,-15.5752561269258,-38.6391574820946,21.871238165911,17.6726074088365,-32.8915573302656,1360.1229330739
19.0000901222229,-1387995.66609718,-5269171.12315689,3306711.13814801,-16.6275214186022,-42.3264606685403,24.6487248363438,20.2343041803688,-38.9812988191843,1409.12548588496
20.000100135803223,-1388012.74088483,-5269215.30513649,3306737.20608801,-17.5511640506029,-46.0508748191664,27.5046490014994,22.3703775070608,-45.1293059289455,1462.89286733326
21.000100135803223,-1388030.67296109,-5269263.19965685,3306766.19418457,-18.3304150836162,-49.799620786136,30.5032085393238,23.985929007642,-51.1407441757619,1521.43105704244
22.000100135803223,-1388049.27088287,-5269314.77144674,3306798.24875711,-18.9276395867749,-53.540808888467,33.6669669438175,24.9129279972985,-56.8096157964319,1584.74511573184
23.000110149383545,-1388068.49163193,-5269370.15947561,3306833.60977241,-19.4161790299637,-57.2926865676696,36.9306200307024,25.0103160822764,-62.0458744447678,1653.06505412981
24.000110149383545,-1388088.16223938,-5269429.28584606,3306872.21516413,-19.8544113986729,-61.1258865970906,40.1761035066639,24.2692432971671,-66.6771278642118,1726.25660663936
25.000120162963867,-1388108.21002973,-5269492.29909063,3306914.0793915,-20.1570380301046,-65.0755013538343,43.4322977487255,22.742275624536,-70.576958315447,1804.43423843477
26.000120162963867,-1388128.47653989,-5269559.33954871,3306959.22367157,-20.2664548978785,-69.1518783563477,46.6992130616459,20.4607616243884,-73.5243878662586,1887.6904655518
27.00013017654419,-1388148.8027711,-5269630.46786443,3307007.66447193,-20.2995209211352,-73.2577104765308,50.0782053627866,17.4200707096606,-75.3215873241425,1976.04933997989
28.00013017654419,-1388169.12199163,-5269705.63664468,3307059.59276053,-20.2955250742248,-77.2377245233426,53.6640752046548,13.4244518075138,-75.9072580132633,2069.55622448307
29.00014019012451,-1388189.43518338,-5269784.73464842,3307115.19000401,-20.3189117778174,-81.1316389849367,57.4741717475365,8.26321490574628,-75.315696272999,2168.21351730358
30.00014019012451,-1388209.86069536,-5269867.74813192,3307174.62672381,-20.5030470615609,-85.0154161922491,61.3638919980519,1.79944329801947,-73.6848724149168,2272.12409944553
31.000150203704834,-1388230.57683054,-5269954.64582306,3307237.88826918,-20.9434596403386,-88.9381880847143,65.1896853348059,-5.94639072194695,-71.2257651146501,2381.2933512684
