Altitude (m),Vitesse du vent (m/s),Masse volumique (kg/m^3)
1118.743806391023,12.0,1.0651311767817275
1118.7336524873972,11.999980667215562,1.065132528686591
1118.7157522020862,11.999946585082311,1.0651349119596738
1118.720211878419,11.999955076354569,1.0651343181906188
1118.7239761445671,11.999962243531927,1.0651338170099418
1118.7197727300227,11.999954240212748,1.0651343766595847
1118.7267134413123,11.99996745534041,1.065133452561833
1118.6902269851416,11.999897984140208,1.0651383104377723
1119.3699683938175,12.00119185823455,1.0650478120164746
1123.6868977779523,12.009390751581932,1.0644732504138634
1132.4652819456533,12.025966319790303,1.0633058474197072
1145.483028278686,12.050311708182754,1.061577024825432
1162.805146892555,12.082281453328946,1.0592809177142588
1184.4722196618095,12.12160640579953,1.0564158616380501
1210.5238662520424,12.16794763399715,1.0529812876677276
1241.0450012953952,12.220987090138546,1.0489716708468886
1276.1077524153516,12.280332146836182,1.0443842551611051
1315.7935468889773,12.345565635045645,1.0392161855572695
1360.1229330739006,12.416145193489893,1.0334736373883673
1409.125485884957,12.491536655345136,1.027162634008523
1462.8928673332557,12.571299835418674,1.0202823049714433
1521.4310570424423,12.654873428866445,1.0128438727956746
1584.7451157318428,12.741720318334941,1.0048596075552976
1653.0650541298091,12.8316246445903,0.9963146588232967
1726.2566066393629,12.923907152829814,0.9872410082948567
1804.4342384347692,13.018251058179096,0.9776404798098257
1887.690465551801,13.114331287904282,0.9675189134562656
1976.049339979887,13.211771466029564,0.956891606919062
2069.5562244830653,13.310253598448366,0.9457722305092848
2168.2135173035786,13.40944872980253,0.9341804451142783
2272.1240994455293,13.50915974134723,0.9221250114228016
2381.293351268396,13.609120157071875,0.909627026306519
2495.8487787479535,13.709200822426075,0.8966945099999878
2615.8068341063336,13.809193365880832,0.8833491083452316
2741.239192652516,13.908959612902208,0.8696070599440979
2872.2476091897115,14.00840059377032,0.8554823084437958
3008.860840111971,14.107377015174723,0.8409975703391075
3151.1714725093916,14.205812498826063,0.826169496356904
3299.2188564389944,14.303606239589863,0.8110210775249114
3453.0696515273303,14.40068941376843,0.7955730772701306
3612.762102935463,14.49698693242345,0.7798496649615708
3778.3563174065202,14.592448315250321,0.7638732719472303
3949.9338349839672,14.687043356391811,0.74766478245218
4127.528374152258,14.780722887317555,0.7312500180712911
4311.258663153276,14.873489010584882,0.7146473130832952
4501.148389871232,14.965299899137666,0.6978840368963964
4697.263533889316,15.056141365354158,0.6809838400934287
4899.433779343031,15.145900724069854,0.6639901483294506
5107.063351154327,15.234308306011776,0.6469788686739731
5319.573122047819,15.321147314848266,0.6300189699733224
5536.360404235311,15.406230630337976,0.6131757122162964
5756.887353707105,15.48942962232235,0.5965038452158542
5980.590949643403,15.570632383312951,0.580054901680788
6207.109185899608,15.649818941193658,0.5638611293623521
6436.470551164821,15.727107978782392,0.5479246871371709
6668.693718601018,15.802604784605801,0.5322482249994971
6903.8036918202415,15.876407912799495,0.5168337427232221
7142.004212751985,15.948661208680518,0.5016718380644716
7383.173058098182,16.019400338965635,0.48677407878103296
7627.518532408401,16.088752819877573,0.4721312163828728
7875.1511216219515,16.15680754552895,0.4577407129768903
8126.164922368713,16.22364156255807,0.4436013021752462
8380.664818513207,16.289328406160813,0.42971135907341207
8638.850776558742,16.353959094541338,0.41606458569174454
8900.829969263636,16.417594300653594,0.4026602383017496
9166.664363279007,16.48027944427504,0.38949999338078284
9436.494466373697,16.542074567727994,0.3765817322905457
9710.462033840828,16.603035146954106,0.3639036683494463
9988.80626855418,16.663233010714944,0.35146009577903653
10271.853469004855,16.722751729929836,0.33924253804491555
10559.828631911427,16.78164672643693,0.3272480453700806
10852.915232720785,16.839960454295653,0.3154760069599883
11151.187668029219,16.89771100038981,0.3039303617836148
11454.958318903111,16.954959678870228,0.29260608839080904
11764.383838391863,17.01173400238324,0.2815046968014293
12079.32357755676,17.068006861060912,0.024704299473483585
12399.756752882153,17.123775137635217,0.023544973360612974
12725.661236335523,17.17903648102533,0.02242164333393409
13057.069146433845,17.233798307311094,0.021334288338551225
13394.023768689483,17.28806974557285,0.020282783042878682
13736.62600882817,17.341868612581038,0.019266774786796215
14084.933767348528,17.395205099316037,0.01828600421289633
14439.207714519463,17.448118906125163,0.01733963486590732
14799.522023681551,17.500619598932484,0.016427352875837353
15165.980925487354,17.55272051947645,0.015548730656494925
15538.701502267271,17.60443594859674,0.014703285270081795
15917.814795880578,17.65578110222665,0.013890483991858436
16303.688527435996,17.706801074604716,0.013109314131719544
16696.545350833796,17.757518574926635,0.012359123016006869
17096.60813660547,17.807954473706626,0.011639274574868021
17504.129754762165,17.85813155716511,0.0109490962324733
17919.335253919475,17.9080673542834,0.010287979079718517
18342.496594528668,17.95778333376928,0.00965525161019422
18773.875299947336,18.007297877479466,0.009050275627685886
19213.676733795553,18.05662147877227,0.008472495070232301
19662.202219378203,18.105774047036608,0.007921228164360293
20119.757039341144,18.154774055845444,0.007395806040288492
20586.60305174254,18.203633718680805,0.006895618662541993
21063.09125241358,18.252373022435897,0.0064199674747653455
21549.46858602576,18.300999700809815,0.005968266403048716
22046.037768434733,18.34952596521562,0.005539870766980015
22553.09947009012,18.397962504501432,0.005134138038129284
23070.868680212647,18.446310876091836,0.004750484628352804
23599.655707064085,18.494580813583926,0.004388241771316049
24139.674999473616,18.542772432340485,0.004046797387651293
24691.24950702116,18.590894884681926,0.0037254575605524306
25254.608222869225,18.63894827135282,0.0034235770611856365
25829.983712382615,18.686932645516826,0.0031404925900458814
26417.638512586243,18.734850141190496,0.0028755141777399
