TIME_NANOSECONDS_TAI ,truth_pos_CON_ECEF_ECEF_M[1] ,truth_pos_CON_ECEF_ECEF_M[2] ,truth_pos_CON_ECEF_ECEF_M[3] ,truth_vel_CON_ECEF_ECEF_MpS[1] ,truth_vel_CON_ECEF_ECEF_MpS[2] ,truth_vel_CON_ECEF_ECEF_MpS[3] ,truth_quat_CON2ECEF[1] ,truth_quat_CON2ECEF[2] ,truth_quat_CON2ECEF[3] ,truth_quat_CON2ECEF[4]
0.0,-1387897.52489378,-5268929.40314374,3306577.78958198,-0.024384810456303,0.0581944954978505,0.013195331002003,-0.457886086629619,-0.177762120906313,0.513178108154255,0.703838894456621
1.0,-1387897.51020182,-5268929.39813988,3306577.78415043,-0.0223816786699237,0.0506036995833791,0.00707304990651002,-0.457876870662917,-0.177778164035769,0.513213618848899,0.703814945225946
2.0000102519989014,-1387897.50834401,-5268929.38309468,3306577.77440117,-0.0170525802134444,0.0478699903232249,0.00842607871566857,-0.457895801176608,-0.17779963513666,0.513219979443713,0.703792566804814
3.0000102519989014,-1387897.51016397,-5268929.38717536,3306577.77573093,-0.0174964906986971,0.0368419076780181,0.00759637388190808,-0.457958913925276,-0.17786981005195,0.513187638558719,0.703757352332179
4.000020265579224,-1387897.5093597,-5268929.38959987,3306577.77946082,-0.012726560497543,0.0423543408892629,0.00575832963331068,-0.45786842881882,-0.177873181751209,0.513215717498467,0.703794899069885
5.000020265579224,-1387897.50950584,-5268929.38847967,3306577.77308233,-0.0169447472437881,0.0435821747433208,0.00600638520004749,-0.457870821068855,-0.177791678832717,0.513280949900422,0.703766364662018
6.000030279159546,-1387897.51522789,-5268929.39006231,3306577.78153702,-0.0175214590970926,0.0321398264682327,0.00793380621706077,-0.457846062180149,-0.177827551365591,0.513280333641848,0.70377385858152
7.000030279159546,-1387897.50845289,-5268929.36005391,3306577.76186992,-0.00824635684673498,0.0354733133532025,0.00225841401753024,-0.45782606336835,-0.177887257882203,0.513260082081596,0.703786546875048
8.000040292739868,-1387897.67777361,-5268929.91992316,3306578.10887869,-0.538925609685083,-1.74258458928667,1.06887125490596,-0.459684382530255,-0.177908821223913,0.515039768623615,0.701265110714256
9.000040292739868,-1387898.78133164,-5268933.51115302,3306580.24411656,-1.77422185864002,-5.52101648769062,3.28532484236715,-0.468043449672846,-0.17460489606369,0.519810310260001,0.692997606963148
10.00005030632019,-1387901.24058258,-5268940.82047184,3306584.48519073,-3.24057611447942,-9.08695063745388,5.20083572258333,-0.475767517940637,-0.16946935376814,0.526400445116477,0.683979515383495
11.00005030632019,-1387905.26918261,-5268951.68258016,3306590.57773322,-4.95467447074294,-12.6469637714027,7.03131805829633,-0.478494885429852,-0.167556442560575,0.531286281916326,0.678750594441342
12.000060319900513,-1387911.04344254,-5268966.14368523,3306598.4994168,-6.73743918422396,-16.2440619779653,8.86184446508393,-0.477195205095736,-0.168711596793746,0.533025240006321,0.67801565255756
13.000060319900513,-1387918.57380705,-5268984.23518102,3306608.27405253,-8.4946085434247,-19.8971770850297,10.7551392645396,-0.474802109690671,-0.171163446662143,0.532624907519464,0.67939439011989
14.000070333480835,-1387927.7957301,-5269005.99662402,3306619.94206607,-10.1588208066933,-23.5987938772352,12.7059699884621,-0.473116437984588,-0.17297767270018,0.530413828071253,0.681836293819668
15.000070333480835,-1387938.61871639,-5269031.497677,3306633.59410831,-11.7350734425248,-27.3605084277284,14.7358834868681,-0.471553530853239,-0.173145495214565,0.52696411788322,0.685541189864213
16.000080108642578,-1387950.9539414,-5269060.78440807,3306649.33307922,-13.163352263211,-31.1560907888263,16.8855284659199,-0.467300994255309,-0.172081766272829,0.521428440051149,0.692914143083418
17.000080108642578,-1387964.66946324,-5269093.86085782,3306667.36487275,-14.4343471011712,-34.9282034793443,19.2599396155083,-0.460047979870946,-0.171418592762137,0.517527487582876,0.700811543783914
18.000080108642578,-1387979.62093603,-5269130.65396222,3306687.90610936,-15.5752561269258,-38.6391574820946,21.871238165911,-0.454331721241927,-0.170974759831166,0.516045868160981,0.705724436439741
19.0000901222229,-1387995.66609718,-5269171.12315689,3306711.13814801,-16.6275214186022,-42.3264606685403,24.6487248363438,-0.451385527815989,-0.170527951602701,0.515812824839744,0.707890141456652
20.000100135803223,-1388012.74088483,-5269215.30513649,3306737.20608801,-17.5511640506029,-46.0508748191664,27.5046490014994,-0.449597052577028,-0.172528380208236,0.515862157716107,0.708507361962859
21.000100135803223,-1388030.67296109,-5269263.19965685,3306766.19418457,-18.3304150836162,-49.799620786136,30.5032085393238,-0.446426498623225,-0.1768739212143,0.51706471688839,0.708564093968119
22.000100135803223,-1388049.27088287,-5269314.77144674,3306798.24875711,-18.9276395867749,-53.540808888467,33.6669669438175,-0.442827392338291,-0.179108537827468,0.516709485744851,0.710517655897239
23.000110149383545,-1388068.49163193,-5269370.15947561,3306833.60977241,-19.4161790299637,-57.2926865676696,36.9306200307024,-0.439928418304988,-0.17913401727271,0.514872653115266,0.713638662640379
24.000110149383545,-1388088.16223938,-5269429.28584606,3306872.21516413,-19.8544113986729,-61.1258865970906,40.1761035066639,-0.437328972330548,-0.180820719371615,0.515158821973012,0.71460382292111
25.000120162963867,-1388108.21002973,-5269492.29909063,3306914.0793915,-20.1570380301046,-65.0755013538343,43.4322977487255,-0.434183109966369,-0.186078958250187,0.515133847322796,0.715190020131305
26.000120162963867,-1388128.47653989,-5269559.33954871,3306959.22367157,-20.2664548978785,-69.1518783563477,46.6992130616459,-0.431926018583064,-0.188981996742235,0.513416979930181,0.717027697092197
